Username,Followers,Confidence,Score_tag,Agreement,Subjectivity,Irony,Tweet
RichardBlue1963,281,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@nco_pictures Marvel is doing well, the MCU not the comics.
But yeah, everything else is falling apart. Star Wars is dying. The amount of fucking reboots on Disney+ is beyond ridiculous. And Disney themselves cannot make anything new, I would rather have Sequels over remakes, any day."""
LeahCsMovies,123,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@Disney If you want to do some real good, scrap the Home Alone reboot and the other ones nobody asked for and give us the Percy Jackson Series on Disney+"""
hxrryngton,3789,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""sooo house of M is coming then"""
DavidMerice1,84,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Disney+ and Big Cable Team Up to Crack Down on Password Sharing, and Now We're Freaked Out - Gizmodo #DisneyPlus  https://t.co/Cln0FttqG7"""
WeLoverobbi3,579,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""One of the twins gonna be gay watch lmao"""
ragnarokshawn,1657,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""wayament are ALL of the disney+ shows going to be that thing where u hve to watch it so u understand the next mcu movie??"""
killrmiller,140,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""that's a wrap."""
lovecheesecake9,1,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""I loved this show when I was a kid! Though I am still unsure about getting Disney's streaming service."""
Gwava_,275,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""The What now???????"""
AsxItxLies,75,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@EvanHillSEA @andref1989 I will pay for the Disney+ bundle that includes them though..."""
dvrrxll,5957,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@probIemthots they ass not paying for Disney+ regardless."""
cdsilva225,711,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""Charter will integrate Hulu and Disney+ into its set-top boxes https://t.co/U47wsmyvTe"""
ayeemoeee,76,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Netflix subscription is CANCELLED"""
BZGarcia,1042,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""Ewan McGregor Confirmed to Return as Obi-Wan Kenobi for Disney+ Series https://t.co/TAlUqOYgAD"""
SindreGud,68,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@MarkHarrisNYC Their schedule seems to be more original content oriented next year though. Almost like they decided to throw all their bigg eggs in the basket this year to be ready for their Disney+ launch. And I guess Disney+/Hulu is a place where they (Hopefully) takes some bigger risks."""
trust21000,5864,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""Charter will integrate Hulu and Disney+ into its set-top boxes https://t.co/S91gAZx5ms https://t.co/9wApRlT5Ms"""
mike_reyes31,436,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Da fuck"""
YouSeemFRAZZLED,610,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""lrt stop making interesting content for Disney+"""
kuhreem_1,73,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Disney just throwing daggers at Netflix now."""
TomAmityCorless,4294,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Walt Disney to host his own show on Disney+"""
adultingsuckz,37,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""Ewan McGregor in talks to reprise his role as Obi-Wan in a Disney+ series https://t.co/eSrHgBAAo2"""
prezsmitty,295,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""SWEAR?!?!"""
