Username,Followers,Score_tag
EcstasyOfGoble,944,P
kailav12,514,P
lovato_clarke,532,N
Ivneboy,240,P+
Dave1900,199,N
CVH_Haskell,77,P
InSpiteOfTrump,39714,P
Ronlovesbooks,771,N+
summerbread,2374,P
ACCSELC,686,P+
benbugge,162,NONE
LautlosMusic,762,N+
charlestrotter,1634,P
LucasCoffelt,1001,N+
lysser88,72,P
JessicaMarren,346,NONE
drventress,260,P
BrandonHomer,952,NONE
davidcgrey,299,NONE
BigJ52,35,NONE
johncthomasii,52,P
RynnyRyn,1342,P
ElOlafino,16,N
JohnAnonNews,110,N
lesegokgaladi,831,NONE
Salon,978066,P
ESPNChrisLarsen,711,NONE
JuanEdits,590,NONE
iammood_e,131,N+
carlalaura99,218,NONE
MillieCordelia,976,N
felah_,1500,NONE
Backstage,137864,NONE
summerbread,2374,N
TennesseeKitKat,2515,P
siredwardnigma,139,N+
Dominic15327489,40,NONE
marietih1,4,P
JohnCamalick,941,N+
editsbyrebecca,656,NONE
Flyinbrian86,103,P
tempebarstool,11096,NONE
bzzctszn,475,NONE
childishtonbino,380,P+
looking4evah,3402,NONE
JustCallMeMetz,217,NONE
KimberlyNuggets,439,NONE
MillieCordelia,977,NEU
Frizzie20,32,P+
fatskyler,207,NONE
taronthewise,689,P
jeannadewaaI,1199,P
ruesmotivation,329,NONE
Justineeroberts,584,N
Syn666Sinner,946,N+
21MillionSeries,117,P
Matthew96018842,15,N
cclarkinspire7,6173,NONE
JohnnyRockets__,50,NONE
LiliMandarina,516,N
emtfr,319,N
BGiesenschlag,4909,NONE
n_x_northwest,43,N
One4OneSport,1,NONE
BryceWilly24,253,N
ScrotieMcB,118,NONE
worstever1213,11,P
emtfr,319,N
BrackenRay4,312,P
Iadyonfire,1190,P
NickDiasOML,121,NONE
kase_kubrick,99,NONE
MillieCordelia,976,N+
MilitantlyA,2717,P+
AmazonHelp,233059,P
craftyprimrose,159,NONE
carxlsbrie,763,NONE
thelouiefuture,285,N+
_robynmaxwell_,794,P
ShawnSmithHFS,557,P+
Kennedemon,126,N
SeanMcn99075899,3,NONE
dongofvictory,591,P
therealrakib,67,NONE
wristsisfrogs,1418,P
vykool,60,P
BruceHop,1062,P+
KezhalDashti,2011,P
MillieCordelia,976,NONE
klassykamry,490,N+
c_arise,157,NEU
JazzTehara,1226,P
jdry,1884,P+
ElGatoPolloLoco,435,NONE
estebanlupo,329,NONE
mattiesthrifts1,207,P
gittycity,609,P
Matt_LowC,459,NONE
crackdaya,262,NONE
crystallover711,463,N+
710ESPNSeattle,55976,P
jehricurlz24,583,NONE
JerseyDamu,48,N+
TomaszMoj,280,P
tizapastel,304,P
dezgruntledjedi,25,P+
Raschiid,3294,NONE
PanchoLegaspi,365,N
TJLawhon,358,P
