Username,Followers,Confidence,Score_tag,Agreement,Subjectivity,Irony,Tweet
freshbluntz,805,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
CrimeShowBot,49,86,P,DISAGREEMENT,SUBJECTIVE,NONIRONIC
MannysMyName,119,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
IsaiahFlamez,649,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
szuniverse,472,100,N+,AGREEMENT,SUBJECTIVE,NONIRONIC
never_giveupmj,508,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
aschwartz112,22,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
SimiMiller007,338,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
aschwartz112,22,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
CrimsonCowlAJD,270,94,P,DISAGREEMENT,SUBJECTIVE,NONIRONIC
Pics70123761,0,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
andjustice4some,13070,100,N,AGREEMENT,OBJECTIVE,NONIRONIC
avaldez4288,146,92,N,AGREEMENT,OBJECTIVE,NONIRONIC
HimuraBattou28,253,86,P,DISAGREEMENT,OBJECTIVE,NONIRONIC
andjustice4some,13070,90,P,AGREEMENT,SUBJECTIVE,IRONIC
ally_hotmama,38,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
ohsnapjazz,1182,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
MJDoggoneLover,2986,100,NONE,AGREEMENT,SUBJECTIVE,NONIRONIC
LewarsAmani,173,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
maryellen,7211,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
HarbesonPatric1,36,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
Poach_Co,315,94,NEU,DISAGREEMENT,SUBJECTIVE,NONIRONIC
sroritynoise,373,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
youtubebored,23,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
qctfun,502,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
DocBohn,299,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
scorpiosoda,66,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
RealShahnoor,17179,92,N,AGREEMENT,OBJECTIVE,NONIRONIC
fseventh,132,84,P,DISAGREEMENT,SUBJECTIVE,IRONIC
ZombiManos,417,100,N,AGREEMENT,OBJECTIVE,NONIRONIC
Damian_M_Kat,170,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC
lanadeltorbay,491,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
Tabyrion,38,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
AzhyRobertson,76,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
inxzw,119,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
_pascal40,938,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
happygirlinla79,435,100,N+,AGREEMENT,SUBJECTIVE,NONIRONIC
PrinceTheChris,667,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
SlicedWrestling,2534,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
keep1t_surreal,79,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
intoxicatedwave,392,94,NEU,DISAGREEMENT,OBJECTIVE,NONIRONIC
