Username,Followers,Confidence,Score_tag,Agreement,Subjectivity,Irony,Tweet
freshbluntz,805,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@thirst4dodgers AT&amp;T is goat you get free HBO for life lmfao"""
CrimeShowBot,49,86,P,DISAGREEMENT,SUBJECTIVE,NONIRONIC,"""Friday nights on HBO, ""Arresting Reason"": She's a warm-hearted group of guys. He's an eccentric physicist. Together, they fight corruption in this screwball comedy"""
MannysMyName,119,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@HBO Furry Muppet creatures"""
IsaiahFlamez,649,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@MarkRuffalo @HBO The song is Holy Water by Freya Ridings"""
szuniverse,472,100,N+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""Oh man the Disney defenders be like, ""*scoff* Well maybe you should pay for it instead of hogging another account!* Fuck you asshole I have bills and rent to pay alongside rides for transportation. I already pay for a few streaming platforms and I likely will bite for HBO Max"""
never_giveupmj,508,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""@ChipMeaty @iaminfinite1816 Oh goodie 
https://t.co/wSpMOMPf0b"""
aschwartz112,22,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""@RealTimers @billmaher @SenWhitehouse @KillerMike @hillhulse @woodruffbets @TheRickWilson @HBO @HBOCanada @KillerMike (or anybody) - 

Why is Joe Biden still leading in the polls among black voters?"""
SimiMiller007,338,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""@NargleInAFez Kinda makes you wonder if Swamp Thing still has a future on a service that could easily afford it like HBO Max."""
aschwartz112,22,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""@RealTimers @billmaher @SenWhitehouse @KillerMike @hillhulse @woodruffbets @TheRickWilson @HBO @HBOCanada @KillerMike (or anybody) -

Why is Joe Biden still leading in the polls among black voters? 

#RTOvertime"""
CrimsonCowlAJD,270,94,P,DISAGREEMENT,SUBJECTIVE,NONIRONIC,"""@bryanedwardhill Hopefully HBO Max or @TheDCUniverse picks it up for at least a final season. It was such a good show and the finale set up so many interesting plot lines for the next season that it especially hurts."""
Pics70123761,0,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Ashlee Simpson HBO Emmy after party in West Hollywood https://t.co/WSWXqq8ve8 https://t.co/u0P6BDynxj"""
andjustice4some,13070,100,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""Many of the ""facts"" that you listed in this article are wrong.  #1 The MJ Estate did not request that their lawsuit against HBO be taken ""behind closed doors"".  In fact, they asked for a PUBLIC arbitration, that you would have known had you read more than one court document."""
avaldez4288,146,92,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""@WildFenixRick @_MCMXLV_ @NetflixLAT HBO si no has visto The Sopranos, The Wire, Westworld, True Detective, Chernobyl, Oz."""
HimuraBattou28,253,86,P,DISAGREEMENT,OBJECTIVE,NONIRONIC,"""@andjustice4some Also he said this issue was not a public concern because Michael is dead. The article cites HBO said it was a matter of public concern."""
andjustice4some,13070,90,P,AGREEMENT,SUBJECTIVE,IRONIC,"""#4 It is apparent that you have only read the last filing from HBO and wrote an opinion piece favoring HBO.  Much like Leaving Neverland, your article is nothing more than a one sided hit piece that highlights corruption within the media and Hollywood elite."""
ally_hotmama,38,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC,"""Ahhh how exciting you can catch my friends movie (one of her best in my opinion) on hbo and crave now! lindsaymaxwellofficial https://t.co/UUoynrAO6p"""
ohsnapjazz,1182,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC,"""give me ur hbo password if u think euphoria is THAT good hehe"""
MJDoggoneLover,2986,100,NONE,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@DeadlineDominic @HBO What happened to your research before sending this off? Is that a pattern with you on other subjects? Wow. #DoBetter"""
LewarsAmani,173,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC,"""You can easily find it online for free........"""
maryellen,7211,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC,"""well, the man whose HBO Go password I use had a kid"""
HarbesonPatric1,36,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Trade: Last Week Tonight with John Oliver (HBO) https://t.co/bFB9sAi6l2 via @YouTube"""
Poach_Co,315,94,NEU,DISAGREEMENT,SUBJECTIVE,NONIRONIC,"""#Westworld Violent Delights Necklace - #HBO TV Series - Pls RT! https://t.co/F6Sw73SIdG"""
sroritynoise,373,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""@probablyshane send that hbo password.... share the wealth"""
youtubebored,23,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""- Silicon Valley Season 6 The Final Season (2019) Official Teaser - HBO https://t.co/dYmjh3o0Hr"""
qctfun,502,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""Robin Thede looks to build legacy in HBO sketch comedy show https://t.co/GHf08wTeQQ https://t.co/zKKYqVZsZl"""
DocBohn,299,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Would definitely watch this"""
scorpiosoda,66,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""watching The No.1 Ladies' Detective Agency on HBO"""
RealShahnoor,17179,92,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""No other streaming service matches the content @HBO creates. Period."""
fseventh,132,84,P,DISAGREEMENT,SUBJECTIVE,IRONIC,"""Monster is masterpiece. It's daunting, it's real and it has hands down the best antagonist that I ever experienced in any kind of medium. If we can get HBO adapted it fully, pretty sure it can be bigger than any detective/crime dramas. https://t.co/eOj6xoHEEQ"""
