Username,Followers,Score_tag,Tweet
kailav12,514,P,"""None"""
lovato_clarke,532,N,"""None"""
Ivneboy,240,P+,"""None"""
Dave1900,199,N,"""None"""
CVH_Haskell,77,P,"""None"""
InSpiteOfTrump,39714,P,"""None"""
Ronlovesbooks,771,N+,"""None"""
summerbread,2374,P,"""None"""
ACCSELC,686,P+,"""None"""
benbugge,162,NONE,"""None"""
LautlosMusic,762,N+,"""None"""
charlestrotter,1634,P,"""None"""
LucasCoffelt,1001,N+,"""None"""
lysser88,72,P,"""None"""
JessicaMarren,346,NONE,"""None"""
drventress,260,P,"""None"""
BrandonHomer,952,NONE,"""None"""
davidcgrey,299,NONE,"""None"""
BigJ52,35,NONE,"""None"""
johncthomasii,52,P,"""None"""
RynnyRyn,1342,P,"""None"""
ElOlafino,16,N,"""None"""
JohnAnonNews,110,N,"""None"""
lesegokgaladi,831,NONE,"""None"""
Salon,978066,P,"""None"""
ESPNChrisLarsen,711,NONE,"""None"""
JuanEdits,590,NONE,"""None"""
iammood_e,131,N+,"""None"""
carlalaura99,218,NONE,"""None"""
MillieCordelia,976,N,"""None"""
felah_,1500,NONE,"""None"""
Backstage,137864,NONE,"""None"""
summerbread,2374,N,"""None"""
TennesseeKitKat,2515,P,"""None"""
siredwardnigma,139,N+,"""None"""
Dominic15327489,40,NONE,"""None"""
marietih1,4,P,"""None"""
JohnCamalick,941,N+,"""None"""
editsbyrebecca,656,NONE,"""None"""
Flyinbrian86,103,P,"""None"""
tempebarstool,11096,NONE,"""None"""
bzzctszn,475,NONE,"""None"""
childishtonbino,380,P+,"""None"""
looking4evah,3402,NONE,"""None"""
JustCallMeMetz,217,NONE,"""None"""
KimberlyNuggets,439,NONE,"""None"""
MillieCordelia,977,NEU,"""None"""
Frizzie20,32,P+,"""None"""
fatskyler,207,NONE,"""None"""
taronthewise,689,P,"""None"""
jeannadewaaI,1199,P,"""None"""
ruesmotivation,329,NONE,"""None"""
Justineeroberts,584,N,"""None"""
Syn666Sinner,946,N+,"""None"""
21MillionSeries,117,P,"""None"""
Matthew96018842,15,N,"""None"""
cclarkinspire7,6173,NONE,"""None"""
JohnnyRockets__,50,NONE,"""None"""
LiliMandarina,516,N,"""None"""
emtfr,319,N,"""None"""
BGiesenschlag,4909,NONE,"""None"""
n_x_northwest,43,N,"""None"""
One4OneSport,1,NONE,"""None"""
BryceWilly24,253,N,"""None"""
ScrotieMcB,118,NONE,"""None"""
worstever1213,11,P,"""None"""
emtfr,319,N,"""None"""
BrackenRay4,312,P,"""None"""
Iadyonfire,1190,P,"""None"""
NickDiasOML,121,NONE,"""None"""
kase_kubrick,99,NONE,"""None"""
MillieCordelia,976,N+,"""None"""
MilitantlyA,2717,P+,"""None"""
AmazonHelp,233059,P,"""None"""
craftyprimrose,159,NONE,"""None"""
carxlsbrie,763,NONE,"""None"""
thelouiefuture,285,N+,"""None"""
_robynmaxwell_,794,P,"""None"""
ShawnSmithHFS,557,P+,"""None"""
Kennedemon,126,N,"""None"""
SeanMcn99075899,3,NONE,"""None"""
dongofvictory,591,P,"""None"""
therealrakib,67,NONE,"""None"""
wristsisfrogs,1418,P,"""None"""
vykool,60,P,"""None"""
BruceHop,1062,P+,"""None"""
KezhalDashti,2011,P,"""None"""
MillieCordelia,976,NONE,"""None"""
klassykamry,490,N+,"""None"""
c_arise,157,NEU,"""None"""
JazzTehara,1226,P,"""None"""
jdry,1884,P+,"""None"""
ElGatoPolloLoco,435,NONE,"""None"""
estebanlupo,329,NONE,"""None"""
mattiesthrifts1,207,P,"""None"""
gittycity,609,P,"""None"""
Matt_LowC,459,NONE,"""None"""
crackdaya,262,NONE,"""None"""
crystallover711,463,N+,"""None"""
710ESPNSeattle,55976,P,"""None"""
jehricurlz24,583,NONE,"""None"""
JerseyDamu,48,N+,"""None"""
TomaszMoj,280,P,"""None"""
tizapastel,304,P,"""None"""
dezgruntledjedi,25,P+,"""None"""
Raschiid,3294,NONE,"""None"""
PanchoLegaspi,365,N,"""None"""
TJLawhon,358,P,"""None"""
victoriaabreaux,131,N,"""None"""
MillieCordelia,977,P,"""None"""
Sports1140KHTK,12404,P+,"""None"""
MarkJKings,1811,NEU,"""None"""
MarkJKings,1811,N,"""None"""
jilliansoftomes,52,P,"""None"""
brainwashed112,16,P+,"""None"""
AVSquadTrailers,1536,NONE,"""None"""
EERCANE,285,N+,"""None"""
XxEnceladusXx,99,NONE,"""None"""
Chewythewookie1,8412,N,"""None"""
EERCANE,285,NONE,"""None"""
BradMost,89,P,"""None"""
cbain00,2589,NEU,"""None"""
