Username,Followers,Confidence,Score_tag,Agreement,Subjectivity,Irony,Tweet
TypeScriptConf,1535,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
Imjaee__,1119,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
AmbreLovee,271,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
MovementSixth,0,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
NChammakhi,103,100,NONE,AGREEMENT,SUBJECTIVE,NONIRONIC
JWN9871,506,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC
JWN9871,506,100,N,AGREEMENT,OBJECTIVE,NONIRONIC
kailav12,514,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
M157q_News_RSS,699,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
RyanRdz_24,905,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
beatrizparga,4179,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
JoeKey97,2003,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
justinesherry,5265,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
julesworksfilms,897,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
JackieBlue4u,1410,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC
Fredzilla6,46,100,P+,AGREEMENT,OBJECTIVE,NONIRONIC
e_mi_o_la,322,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
WilliamBicaku4,1,100,N,AGREEMENT,OBJECTIVE,NONIRONIC
TCIsBestPony,428,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
MissLexisaurus,2103,89,N,AGREEMENT,OBJECTIVE,NONIRONIC
jliamk,152,92,N+,AGREEMENT,SUBJECTIVE,NONIRONIC
Le_Basique,70,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
lovetk_ohh,2734,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
EFFFalcon,1526,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
tamiaaarc,1007,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
relmuteri,98,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
netflixpercyj,70,100,N,AGREEMENT,OBJECTIVE,NONIRONIC
LiamLittle97,686,94,P,DISAGREEMENT,SUBJECTIVE,NONIRONIC
ComitatusPosse,8,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
We_Are_SSD,416,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
dwightrmiller,625,100,P+,AGREEMENT,OBJECTIVE,NONIRONIC
uItmarkson,20882,100,N,AGREEMENT,OBJECTIVE,NONIRONIC
CaroJohns84,53,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC
ComitatusPosse,8,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
MaraKoolz,18,94,NEU,DISAGREEMENT,SUBJECTIVE,NONIRONIC
Yuggiio,5419,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
DRHCRUISES,201,100,N,AGREEMENT,OBJECTIVE,NONIRONIC
ComitatusPosse,8,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
ThomasbrOConnel,324,97,P,AGREEMENT,OBJECTIVE,NONIRONIC
manstevo_13,6518,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
SHIELD221287,196,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
miniespeaches,269,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
MightBeReggie,2511,100,N+,AGREEMENT,OBJECTIVE,NONIRONIC
afewpiecesofme,516,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
JericLoz,12,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
ChrisManley2019,66,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
ComitatusPosse,8,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
smghishh,6,98,P,AGREEMENT,SUBJECTIVE,NONIRONIC
henrique20065,19,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
Oilfarr,41,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
aijahh3,3,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
MattBobRoss,1183,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
sailorklyntar,200,86,P,DISAGREEMENT,SUBJECTIVE,NONIRONIC
89AlexM13,63,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
Luke_and_Beyond,352,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
Ms_Xtina,3103,97,P,AGREEMENT,OBJECTIVE,NONIRONIC
phzinhocs,1,92,N,AGREEMENT,SUBJECTIVE,NONIRONIC
alssjaqn,348,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
jolann_,3,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC
boliver36,549,100,NONE,AGREEMENT,SUBJECTIVE,NONIRONIC
HollRebecca,621,100,N+,AGREEMENT,SUBJECTIVE,NONIRONIC
xoxoshaikha,42,94,NEU,DISAGREEMENT,SUBJECTIVE,NONIRONIC
Luke_and_Beyond,352,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
bethanyyy_03,14,94,NEU,DISAGREEMENT,OBJECTIVE,NONIRONIC
DorianParksnRec,17840,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
andydouglas1967,51,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
AdamLofreso,591,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
jcovibe,199,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
gnocchi_mane,6517,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
suboceanic,1972,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
hollyylouvieree,897,100,P+,AGREEMENT,OBJECTIVE,NONIRONIC
kylevhky,490,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
jimmythemvp,10,94,P+,DISAGREEMENT,OBJECTIVE,NONIRONIC
DougieDoee,1810,100,N+,AGREEMENT,OBJECTIVE,NONIRONIC
garretro,22,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
TanYahAnnYah,376,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
LycoApollo,267,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC
StanCampbell3,151,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
ryanshatetweets,66,100,N+,AGREEMENT,SUBJECTIVE,NONIRONIC
ComitatusPosse,8,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
nalanyx,5445,92,P+,AGREEMENT,SUBJECTIVE,NONIRONIC
mionemedia,932,94,NEU,DISAGREEMENT,SUBJECTIVE,NONIRONIC
nicoduretour,8681,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
ComitatusPosse,8,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
potesituation,399,100,N,AGREEMENT,OBJECTIVE,NONIRONIC
FilmFanSite_com,351,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
BadarAbbas,949,92,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
ComitatusPosse,8,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
adonis_reyess,196,94,NEU,DISAGREEMENT,SUBJECTIVE,NONIRONIC
AmFmJen,579,94,NEU,DISAGREEMENT,OBJECTIVE,NONIRONIC
hackernews100,585,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
ALSATIANS,61,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
pckrunnr,275,100,N,AGREEMENT,OBJECTIVE,NONIRONIC
2jayzgte,399,86,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
Daniellep614,7,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
ComitatusPosse,8,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
itsdaarlenex,340,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC
KatelynBruzzi,855,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
Freetheblizz,509,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
VickyBennett,241,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC
lovecristinee,220,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
Rtreatwilliams,19253,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
chrisbikergeek1,1,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC
Gabdate,620,94,NEU,DISAGREEMENT,SUBJECTIVE,NONIRONIC
tamilthimir,718,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC
dolarhyde_uc,933,94,NEU,DISAGREEMENT,SUBJECTIVE,NONIRONIC
josestreamm,775,100,N+,AGREEMENT,SUBJECTIVE,NONIRONIC
JavierDFW,129,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
ComitatusPosse,8,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
Selfcar56143579,0,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
bornflawless,3607,100,NONE,AGREEMENT,SUBJECTIVE,NONIRONIC
omohteee12,46942,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
starlightarix,5451,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
ComitatusPosse,8,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
IDontKnowRich,759,98,P+,AGREEMENT,SUBJECTIVE,NONIRONIC
phronk,2474,100,NONE,AGREEMENT,SUBJECTIVE,NONIRONIC
Domenicodmare97,1014,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
jordylapsley,406,92,P+,AGREEMENT,SUBJECTIVE,NONIRONIC
ngeltears,1783,92,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
pinajuan18,439,100,N+,AGREEMENT,SUBJECTIVE,NONIRONIC
MovementSixth,0,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
afrociza,84,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
Ayetty_Labake,51,97,P,AGREEMENT,SUBJECTIVE,NONIRONIC
ComitatusPosse,8,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
maria31653517,7,86,P,DISAGREEMENT,OBJECTIVE,NONIRONIC
Zarin_Maliha_,5965,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC
caspercdn,35,98,N,AGREEMENT,OBJECTIVE,NONIRONIC
JJREILLY3,1007,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
Netflix_Updates,971,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
ComitatusPosse,8,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
minimoysk,410,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
daarkthrone,1260,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
starksmagnetos,446,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC
freshsubomi,756,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
ComitatusPosse,8,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
FeedTheHoss,98,86,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
simply__ashlee,778,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
Naomi_Lauture,46,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
okbelli,267,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
sameershah2000,82,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC
samanthabisogno,569,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC
SincerleyParis,638,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
CandiceAiston,12801,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
MrJay152,554,92,N,AGREEMENT,SUBJECTIVE,NONIRONIC
slugcities,4684,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC
hale_maker,2046,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
iancourtracing,467,100,P+,AGREEMENT,OBJECTIVE,NONIRONIC
reed10_barrter,2,94,P,DISAGREEMENT,OBJECTIVE,NONIRONIC
mainarahal,85,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
FrankieTease,2492,97,N,AGREEMENT,OBJECTIVE,NONIRONIC
