Username,Followers,Confidence,Score_tag,Agreement,Subjectivity,Irony,Tweet
martharam50,111,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Hemosa#interpretacion#"""
patriota5ve,20,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""#VenezuelaEnDictadura &gt;castroNARCO$TERRORISTA$ GENOCIDAS @jguaido #SOSVenezuela #ResistenciaVzla @NTN24 @abc_es @HRW @ElNacionalWeb @AndresPastrana_ @elnuevoherald @marcorubio @PPopular @psoe @CiudadanosCs @BBC @rtve @vox_es @beatrizbecerrab @jairbolsonaro https://t.co/T3ac7WIV6w"""
deportes_rtve,87529,100,P+,AGREEMENT,OBJECTIVE,NONIRONIC,"""Djokovic logra un trabajado triunfo ante Londero y pasa a tercera ronda https://t.co/afOFS00tfq"""
patriota5ve,20,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""#VenezuelaEnDictadura &gt;castroNARCO$TERRORISTA$ GENOCIDAS @jguaido #SOSVenezuela #ResistenciaVzla @NTN24 @abc_es @HRW @ElNacionalWeb @AndresPastrana_ @elnuevoherald @marcorubio @PPopular @psoe @CiudadanosCs @BBC @rtve @vox_es @beatrizbecerrab @jairbolsonaro https://t.co/T3ac7WIV6w"""
patriota5ve,20,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""#VenezuelaEnDictadura &gt;castroNARCO$TERRORISTA$ GENOCIDAS @jguaido #SOSVenezuela #ResistenciaVzla @NTN24 @abc_es @HRW @ElNacionalWeb @AndresPastrana_ @elnuevoherald @marcorubio @PPopular @psoe @CiudadanosCs @BBC @rtve @vox_es @beatrizbecerrab @jairbolsonaro https://t.co/T3ac7WIV6w"""
patriota5ve,20,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""#VenezuelaEnDictadura &gt;castroNARCO$TERRORISTA$ GENOCIDAS @jguaido #SOSVenezuela #ResistenciaVzla @NTN24 @abc_es @HRW @ElNacionalWeb @AndresPastrana_ @elnuevoherald @marcorubio @PPopular @psoe @CiudadanosCs @BBC @rtve @vox_es @beatrizbecerrab @jairbolsonaro https://t.co/T3ac7WIV6w"""
JoannaBarquin,316,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""@AguilarMattias @MedusaDelSur @FrenteDeIzdas @rtve Pues no lo es. Te recomiendo el documental."""
salvareinachuki,20466,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@albaesr @rtve @maggiecivantos pronto...."""
MrPopyFresco1,3,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Alto y claro."""
juanman02391023,532,92,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""@rtve no se lo merece , pero tantas cosas pasan asi , d.e.p"""
